NAME	DESCRIPTION	Fabp_1	Fabp_2	Fabp_3	Fabp_4	KrasG12D_1	KrasG12D_2	KrasG12D_3	KrasG12D_4
ENSMUSG00000054763	NA	0.11268385	0.777316433	9.62365165	0	9.113077181	0.343741496	10.92839496	0
ENSMUSG00000054764	NA	0.921454081	0.878995425	0	3.651296853	0	1.870406423	1.274600902	0.921021735
ENSMUSG00000054766	NA	2375.788554	2311.167464	1903.737351	2070.158817	1975.034472	2507.903027	1460.277744	1883.540971
ENSMUSG00000054770	NA	76.84361056	55.98318485	125.8648223	137.6301455	125.8787149	49.59917785	52.50365947	92.17480303
ENSMUSG00000054792	NA	209.1810085	0	378.066728	298.7019882	0	344.2413558	540.381923	349.6550234
ENSMUSG00000054793	NA	21.08728246	35.62019268	20.66910722	6.416804023	13.76463059	6.45859994	4.897037749	6.514166741
ENSMUSG00000054808	NA	10759.13257	13892.20356	20593.92226	16732.35801	26790.0564	24494.46324	32700.7693	21152.13972
ENSMUSG00000054814	NA	544.3401304	334.8713336	289.1279998	288.0723572	320.5348005	246.8716353	590.8271049	553.3507484
ENSMUSG00000054823	NA	928.0155314	836.1052985	1009.856611	875.199056	981.976943	877.3837905	1224.202372	870.1025546
ENSMUSG00000054836	NA	21.34756673	9.627159904	22.58763927	21.88244839	21.59028694	35.51764188	20.38900598	26.03403306
ENSMUSG00000054843	NA	2328.755919	2142.127292	3027.517268	2509.194361	2855.850825	2731.096107	3487.363697	2665.489561
ENSMUSG00000054850	NA	20.74467419	20.31461026	11.48989593	39.87176521	16.13216093	4.658584167	9.973387899	15.69341614
ENSMUSG00000054855	NA	1.398086851	2.69674366	1.726832425	6.239514449	8.055078766	1.421145096	3.888205564	6.371185386
ENSMUSG00000054863	NA	3.782791361	0	1.157802614	0	0	0	1.246818858	0
ENSMUSG00000054871	NA	33.06068053	25.1381117	18.92519823	24.86562839	16.95235416	25.39094146	10.1301557	8.49394594
ENSMUSG00000054874	NA	1313.803174	719.6682892	874.2358238	1302.306335	1335.406619	886.9315383	1009.137402	1225.436944
ENSMUSG00000054889	NA	11840.59724	10653.27639	17437.20101	11801.49757	37505.48143	29021.3284	34408.27181	28693.27687
