"","GENEID","Fabp_1","Fabp_2","Fabp_3","Fabp_4","KrasG12D_1","KrasG12D_2","KrasG12D_3","KrasG12D_4"
"69","CDA",515.076441747565,385.313923689483,346.996710387712,338.303449453589,1251.77141200558,1314.90093325636,1280.12976389229,1232.70534387686
"70","SMPDL3B",139.308108330842,551.769242915662,493.828812377439,340.234638592278,274.9845001357,373.320085277996,223.206419912096,129.563795844332
"71","PLCH2",305.86794432106,283.538802676337,334.945896048984,390.982476951194,211.677806878477,231.570987568841,231.308411506946,266.132537826427
"72","CD38",3548.63841233108,6471.4571218486,9465.80522109313,9659.23417019506,5716.84555075828,5563.05539953494,7457.05385856422,2703.59522540145
"73","TEC",330.213153664088,331.947527115292,388.087406693414,368.993884883368,473.39205067481,424.724244334368,415.500602995012,499.990391442422
"74","GFI1",137.033722326454,91.4360787624954,100.453093241161,138.997367323329,111.301971806265,40.638293011552,74.1307311704018,117.588363490062
"75","CXCL5",14.4554724397003,11.4204903808736,27.0523233587262,160.925733032256,50.4984066670173,1.9211037204924,71.3665200479189,6.41647664747817
"76","ABCB9",168.910481115117,126.487328116956,180.771911088563,117.942365290623,204.013791881491,140.404274616021,183.191772141404,205.961719870384
"77","CXCL9",71.3297396324998,202.676020961217,74.0033322932974,169.838795972816,219.306325775073,296.169119739642,232.396032572897,36.1378656377214
"78","BCL7A",119.13263968351,116.196069499084,96.7924067208983,107.022920938252,72.3645176929357,82.9124829674986,44.4398348217374,83.6655937544352
"79","EPHA1",988.494654624112,1073.75453499503,1123.1578684404,622.860633757225,852.635570275155,1242.33448503475,836.303137295037,1186.15438262301
"80","HPGDS",101.31018733081,66.7625040363026,91.8319386643751,158.171642590123,296.883608589022,126.41347681473,242.649870138127,162.678482882206
"81","CLEC2D",1091.02118071463,1917.69382014109,1659.38009680752,1288.64285541862,623.843194238268,936.361122249719,705.592961401381,736.131961332284
"82","LRMP",251.285852251972,90.8125930012305,181.808878202264,447.610841278634,834.688762661382,238.502092264998,1371.53180792725,882.209485917227
"83","ST8SIA1",5.86976214911999,12.2795253452989,74.3088114556843,118.161242060331,51.3725045751739,5.02925081819887,75.3068276140379,3.46551868380079
"84","DENND5B",259.978403947895,147.84024342255,228.309619668622,158.980563254651,388.146572165733,272.21671414612,500.261714446311,441.923342132398
"85","PGLYRP1",2872.49278986972,4038.89029995312,4176.98437516409,8169.28650716809,6842.31992160047,4302.99453778096,7986.99315204807,3341.9526545262
"86","CD22",10.1226688680213,51.4356472080552,153.165064884133,51.5867831995447,70.8876373360283,7.06444150993868,102.831119068769,57.296751758334
"87","SERGEF",78.0318715586498,84.3598900439636,45.7517256796217,75.2026443203643,41.6266486286608,52.7696628258573,66.4108580033824,57.0564536717152
"88","CHST15",101.718369970808,66.157765940818,66.665007639166,123.997144728806,934.150599207557,250.507057663977,1985.86136536342,547.226331509275
"89","GPC4",620.448007091009,479.02308268806,478.201858261223,1018.14475360374,1112.54062213414,727.923501982689,1782.4241308917,812.180949434113
"90","RASA3",305.659642396546,674.724631500366,336.585767455441,361.240422502676,263.872288593191,309.266457267534,166.231111908193,285.007381301422
"91","IDO1",184.154972322039,1320.74062478327,923.823357075904,812.434202367913,410.141173417064,650.930956360504,831.438632369365,73.6755668349871
"92","SMPD3",1526.11670203207,1666.86452999051,2074.25527038756,2569.11003882211,2292.4701819293,1283.0718505189,3059.46441025318,1735.34648948436
"93","BIRC3",680.287694651133,639.91407822634,844.074693335601,1117.14651516387,1003.59065341789,582.016012145457,1698.48767613229,969.68753681153
"94","ETS1",95.9459602488513,222.002329393718,325.909158926736,186.343296090827,201.766527901663,323.617574620386,239.017813964341,68.3557901711164
"95","CD3E",43.1130652489438,83.0020661008941,78.6169062889599,20.2326940713054,34.4731105837612,78.034670589587,29.0727939821362,12.0912215882187
"96","PAQR5",1550.83634869806,1233.6510520357,1052.00725580562,709.835069920404,1433.82807953197,1259.98511818688,1714.2248104908,1262.21557192959
"97","DAPK2",566.427150538119,642.655496721458,681.279711124357,752.666245501388,744.63631696625,655.477572026488,1155.43695923855,831.853592447591
"98","CDC25A",1105.18440307087,1088.48501862157,1185.16267351847,908.172787289616,732.382745254663,809.917006857637,606.809277898226,657.438239668974
"99","PRR5L",105.327587601005,287.128687527533,183.280798784797,55.540229479775,57.9250278669528,21.8962967963565,56.6346332464001,13.9278683126282
"100","P2RY2",167.628777573413,331.15770336701,340.057270491308,365.298229966969,1169.54356344657,724.739306307434,1223.15608668975,788.811773992837
"101","FBXL8",226.660661600517,235.248404359274,245.438507474983,226.856390071011,289.87329052797,232.78602815466,295.936474404851,310.321992099185
"102","APOL6",319.157297625215,1281.71394751574,1008.79805402258,438.466096946477,1146.58401830126,2327.66784673928,268.558406331819,863.459477543451
"103","MAP9",13.6043518428388,4.36474679018665,53.8520324040226,6.13009845216278,107.365210228651,8.82868166103954,61.0925089431322,87.5289432783785
"104","DHRS11",1693.05737437978,2015.65611969468,2406.21208329876,1798.17505251584,1561.79536250415,1426.46195268478,1384.88104733101,1825.73815077365
"105","BMP2K",456.458546336625,441.084239697535,444.461625953393,446.292736256961,582.385804825862,603.644858257397,733.991878548698,642.205529942702
"106","CXCL10",46.5905157140656,60.812752718217,29.069282769782,122.894437352926,218.299452795633,184.007006316487,291.068193304793,44.1300547157346
"107","DPP4",560.897993140031,295.847952855935,646.963509316507,647.664186476702,255.094304823842,383.516555340567,351.176100754494,538.520340764541
"108","CCL5",248.705237997217,535.20136740718,281.667245532554,128.63489483056,217.770048070202,422.941580035884,76.9488955136601,103.77991299185
"109","RRP12",154.364323058072,152.844969209576,151.920218052737,147.097734484733,159.780732451567,191.855204021777,88.9885634630838,133.892711019623
"110","HPSE",256.291352035681,301.512104368679,274.22362211023,317.60537630366,179.057421899949,286.540307345288,201.824844727656,171.060428407513
"111","SLC12A8",1171.27826336939,787.390427305982,716.187527762813,849.913006087694,778.764677753662,714.222730891866,580.147296952112,842.49264264919
"112","TTC38",1001.49283859025,1273.69583295395,1270.67609997113,903.988225176423,1414.3847132928,1463.07170270627,1197.16817207967,754.804015948406
"113","SLC2A6",155.056145257028,88.9211159933902,128.219954133303,63.8571346284366,40.4011204687285,52.377739968141,29.5368866019238,10.3988013564476
"114","DEPDC5",288.311964298081,218.223963623808,399.824714684285,284.656265710104,345.654519901009,206.437639603558,322.984125435329,383.323059269377
"115","VNN1",302.01992187149,248.106703493042,320.463790768124,85.5448432378232,111.476361608663,128.373001055544,79.9938228368482,89.231020558623
"116","AIM2",704.166917342417,698.1972068574,766.09893865232,826.424599472028,783.166755582836,853.75957572014,1019.59014797265,1177.51105132699
"117","SOCS1",89.4572304680667,184.176198716501,140.528976604036,217.319743052799,117.821083493511,88.0951290480367,130.722100733526,41.4802390423199
"118","TRPM4",1730.80217069919,2224.31555791107,1979.93888214796,1499.28491758266,1938.94616794493,2713.4682090087,2115.04638329874,2795.87982901946
"119","VILL",87.3457352016883,34.9980650738043,57.3321277813108,98.3490685419323,329.296632911492,233.488671098801,791.81552693702,467.327745593417
"120","BACH2",38.5910262503438,32.5097452237506,53.4171169279327,44.0636750483982,70.6599768025903,41.2725177927379,104.622471911617,86.4464320048796
"121","CDK6",530.387831166031,282.604993808348,255.899028110293,277.631304034351,188.310226494551,214.746696269707,154.429197323242,306.441514117398
"122","IL7",85.6024569048654,56.1903646973926,81.8226986500086,163.069393143933,204.927293003016,163.751035045305,373.162278605999,211.954892633089
"123","MANEA",319.063349296068,321.451691170725,381.077994907688,342.316369600049,325.929167048314,288.774902457636,681.910414458767,283.613183064374
"124","CD79B",4.72147895925323,95.3647040904979,138.289371348646,135.913114203115,111.720132029702,23.3377930660761,170.975076927581,23.1785078240699
"125","REPS2",626.99991818484,537.3700025634,705.82349935322,603.91045644607,733.645326471374,790.625902002933,1209.04585140146,983.923453928356
"126","RRP9",168.415942061431,188.672753822184,147.886752886653,179.362982761015,173.791534050577,202.055142388622,118.840543269279,171.931549507593
"127","IRF8",1381.74162230621,2615.13419568828,2064.5387619672,1961.10315128461,960.447227975313,1230.25771667274,1016.72703399243,651.61390560665
"128","RASSF4",286.031234199201,536.693673803778,456.05566187194,373.239134650135,128.118648284783,237.588212183762,38.5594715235248,73.0486437203862
"129","PBXIP1",1535.31906886651,1304.10732305634,1341.53059943917,1615.3518707991,1252.9640436484,1076.58259141605,1417.55256078855,1351.58291973726
"130","TNIP3",63.3274716013138,145.525023006031,188.075429899512,532.61115919119,403.053756948677,126.995444658847,583.740086482541,246.981981174428
"131","ZFP36L2",3804.3497999102,2205.40715760564,2092.04559876082,2302.28078861613,2764.52690553905,2193.90694935317,2756.41897732473,3337.35707008292
"132","PTPRCAP",27.638523552231,86.5326757611126,58.7425198715268,51.2580183706002,60.5932357276996,55.0506119157851,50.8977145698993,20.8934501442608
"133","STXBP6",271.124436175695,327.821738573763,233.187203251907,373.666196797489,352.183318132028,235.936209817414,431.193219645643,354.897118915908
"134","BCL11B",244.972419534654,186.955028023736,170.321718732105,193.009415883384,169.123417074562,215.451082110465,191.865233187613,176.029310540751
"135","RGS13",162.653061846878,104.690343995096,96.7259788446764,77.6270223059162,121.658827803768,68.8303965867002,75.6916726169403,150.970869502128
"136","FFAR2",270.578822492065,130.333520411109,66.9021281331139,175.323728422746,127.401112789591,158.310314130627,124.636630907192,167.776736058847
"137","MICAL3",122.491125301091,59.7574930820134,60.8307703835907,53.0449031870125,13.6265485426258,8.30906463535526,3.84814178456052,16.922294224473
"138","PLEKHG3",369.101882771656,65.1578916105787,171.529181272753,266.139465219423,601.286930331621,462.962811326019,596.099499377248,528.028651810617
"139","HRH1",274.222157253165,199.307645901069,369.263413905809,292.759288813268,601.206183914656,372.241799599273,727.2167601562,460.618364422052
"140","FES",89.2895182179289,83.6936493093474,67.6089400155506,85.3310582806075,0,66.6181645043294,188.553582103324,85.9382339260764
"141","TGM5",6.47857568882949,14.9323620751619,21.6540158841482,20.7605329103218,41.4829969199306,42.4452902344828,91.3001249813499,26.4339733108736
"142","CD8A",40.570065419521,130.059079209424,134.188544877774,49.0793728347621,75.6437920197356,160.082049831315,26.3750533767594,27.641034897243
"143","NAALADL1",1607.45718546103,410.741082951435,1071.05200719819,319.918883393969,97.6700816704981,79.520746964756,66.7542139794353,118.313155360244
"144","NOD2",79.5399151534264,71.1785532252323,66.3011261191505,81.099005290752,68.5856830363547,74.122606281291,68.6498268899591,30.7028856566029
"145","RCAN3",466.496992197725,253.774481442749,354.750640644778,419.00524829086,391.772393655133,335.444132856238,489.948464408621,554.494228576277
"146","ATHL1",314.717767946117,233.679156220758,291.158657212219,248.869881505741,278.534181120966,304.797571516196,600.679966973208,290.893504141444
"147","ICA1",435.067670980793,216.996291382994,276.316447769166,412.801254209131,373.630503378086,168.784507085124,523.754566516191,533.128418294468
"148","IL2RB",66.5265974465967,95.7450272390852,81.7490247977648,50.7080822340448,71.123565447402,102.829932789868,55.1346719122779,26.9055791130718
"149","ZBTB10",426.215985780516,282.773387150173,337.123772885249,283.953108163821,380.687060010547,361.445974930853,245.797337399296,462.805941934914
"150","HIST1H2AE",81.5582519273496,6.11155048951374,42.232933533445,72.3808310902396,52.3064290208964,11.6503183957856,5.77696307248516,3.82997107677744
"151","SP140",79.8617759198592,218.584644549289,193.490484971471,413.192273898321,117.758915863744,61.9954868955073,320.314021566924,16.0372194477641
"152","IGKC",2843.94232375025,16254.8941765666,7644.42629450837,9049.60130975637,7843.88790807523,7472.93918992077,1900.24866980333,1136.96054905931
"153","IGHM",53.9347007486856,194.787815844667,462.205318998493,319.236542963355,309.690798035171,106.579738050166,504.516081427823,121.456536443802
"154","FAM174B",810.655256789936,771.171670450281,630.780131252919,821.476646323746,714.008948004766,587.803294357606,599.515985685633,1037.53900608117
"155","ST6GALNAC4",260.574921470244,277.26832712214,230.113206130977,452.82616301083,585.118743747745,392.713220199015,505.482425384221,598.421431294685
"156","UGT1A8",696.375099831337,0,3.46357588707803,148.645929312436,0,0,0,0
"157","LIME1",62.8619591151526,73.0344844227771,72.7984386208826,52.5568335018452,42.922640728889,41.7700212620047,33.080258718957,32.0657600276125
"158","IGHD",4.25381467191629,175.347355438854,162.151484463073,119.234420211779,91.7066095507688,15.6886187160842,163.692064562482,23.8731232472642
